image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__atopic_dermatitis_in_cats_causes_symptoms_and_treatment_4206_webp_jpg.rf.c912316c7978a74bffd0b798c438f9f3.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__atopic_dermatitis_in_cats_causes_symptoms_and_treatment_4206_webp.rf.dc088c20131c51321c3dd5d82a48679e.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac1_jpg.rf.1444c793e02faed8bcee52696dd53ee6.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac1_jpg.rf.575e298978d038c771ceef1a932448d0.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac1_jpg.rf.1444c793e02faed8bcee52696dd53ee6.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_14_jpg.rf.ff6c1dbf0724288f86ee28154b103863.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.6b51158189695915f7d09239fd56fcc2.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.c37aacd1d964b02ca5f4b60860fd89f0.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.6b51158189695915f7d09239fd56fcc2.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_17_jpg.rf.0dd3319c5a2e063fd49241e80d013af4.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.c797a451bd9660db45455eed6959f887.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.b725ca7e7a7901ad23a83c22c1e7c131.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac2_jpg.rf.c797a451bd9660db45455eed6959f887.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_16_jpg.rf.c3341e9ab3e9617ca7b0a29caf84308f.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac3_jpg.rf.d0c908e043e0fd04d64142d6b23c96a5.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac3_jpg.rf.67842878bef3f6e6c5e220cd1d808e88.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac3_jpg.rf.d0c908e043e0fd04d64142d6b23c96a5.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_20_jpg.rf.67870a08d3715c8bc92218860ca92c08.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.1e515c3bc2a4f475b8b590fd8595f925.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.9eac1b0e1502d7695ce02f2f3ae4d719.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.1e515c3bc2a4f475b8b590fd8595f925.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_1_jpg.rf.fe208a35a62108ad8e794f9cf82b23e4.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.354fc6a32b2abc4f684df21b0618bf50.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.18662b04a8cd036bf89f4d5fb116bbe8.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bac4_png_jpg.rf.354fc6a32b2abc4f684df21b0618bf50.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_22_jpg.rf.93a81a3db658e0cfe2a69aacc7b01806.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc1_jpg.rf.fdd9ef5280617609f1d432338b931276.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacc1_jpg.rf.36c1ea616f5ac161ceb162c73be4cc3f.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__bacc1_jpg.rf.fdd9ef5280617609f1d432338b931276.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_5_jpg.rf.0c2ca6a814aeaf1394e05b35132fb6e2.jpg,0
